"","TaskPit","ブラウザ","メール","プログラミング","デバッグ(.NET)","テキスト閲覧・編集","プレゼン編集","データ分析","デスクトップ","ファイル操作","登録外"
"2016年11月10日18時30分","13","0","0","127","0","0","0","0","0","28","56"
"2016年11月10日18時35分","0","44","0","247","0","0","0","0","0","0","0"
"2016年11月10日18時40分","0","26","0","139","0","0","0","4","0","1","106"
"2016年11月11日13時40分","24","0","0","0","0","0","0","39","79","175","72"
"2016年11月11日13時45分","0","0","0","0","0","0","0","0","0","114","185"
"2016年11月11日13時50分","0","0","0","0","0","0","0","0","0","18","0"
"2016年11月11日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日15時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月11日16時35分","0","0","0","0","0","0","0","13","33","25","139"
"2016年11月11日16時40分","0","0","0","0","0","0","29","0","11","200","52"
"2016年11月11日16時45分","0","38","0","0","0","0","0","0","0","53","205"
"2016年11月11日16時50分","0","0","0","0","0","0","19","0","0","54","26"
"2016年11月11日16時55分","0","63","0","0","0","0","0","0","0","0","92"
"2016年11月11日17時00分","0","226","0","0","0","0","0","0","0","0","64"
"2016年11月11日17時05分","0","28","0","0","0","0","112","0","2","125","10"
"2016年11月11日17時10分","0","195","0","0","0","0","0","0","0","0","0"
"2016年11月11日17時15分","0","120","0","0","0","0","90","0","2","43","38"
"2016年11月11日17時20分","0","0","0","0","0","0","296","0","2","0","0"
"2016年11月11日17時25分","0","0","0","0","0","0","299","0","0","0","0"
"2016年11月11日17時30分","0","0","0","0","0","0","238","0","8","22","2"
"2016年11月11日17時35分","0","0","0","0","0","0","38","0","2","40","194"
"2016年11月11日17時40分","0","38","0","0","0","0","0","0","0","31","201"
"2016年11月11日17時45分","0","1","0","0","0","0","0","0","0","31","252"
"2016年11月11日17時50分","0","4","0","0","0","0","10","0","1","63","194"
"2016年11月14日11時55分","8","0","0","0","0","0","1","0","2","76","233"
"2016年11月14日12時00分","0","0","0","0","0","0","0","0","0","0","294"
"2016年11月14日12時05分","0","0","0","0","0","0","103","0","4","38","150"
"2016年11月14日12時10分","0","58","0","0","0","0","234","0","3","0","0"
"2016年11月14日12時15分","0","71","0","0","0","0","189","0","22","7","0"
"2016年11月14日12時20分","0","0","0","0","0","0","295","0","3","0","0"
"2016年11月14日12時25分","0","0","0","0","0","0","290","0","5","0","0"
"2016年11月14日12時30分","36","47","0","0","0","0","71","0","4","39","66"
"2016年11月14日12時35分","0","0","0","0","0","0","75","0","0","0","224"
"2016年11月14日12時40分","0","0","0","0","0","0","112","0","0","16","0"
"2016年11月14日12時45分","0","0","0","0","0","0","272","0","0","24","0"
"2016年11月14日12時50分","0","0","0","0","0","0","265","0","0","0","0"
"2016年11月14日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日13時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日13時20分","0","0","0","0","0","0","1","0","12","30","222"
"2016年11月14日13時25分","0","0","0","0","0","0","204","0","0","8","84"
"2016年11月14日13時30分","0","0","0","0","0","0","7","0","1","133","156"
"2016年11月14日13時35分","0","0","0","0","0","0","0","0","2","163","46"
"2016年11月14日13時40分","0","0","0","0","0","0","0","0","1","14","133"
"2016年11月14日13時45分","0","181","0","0","0","0","0","0","0","0","108"
"2016年11月14日13時50分","0","103","0","0","0","0","121","0","0","13","33"
"2016年11月14日13時55分","0","187","0","0","0","0","21","0","1","0","84"
"2016年11月14日14時00分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月14日14時05分","0","12","0","0","0","0","97","0","1","0","16"
"2016年11月14日14時10分","0","142","0","0","0","0","0","0","0","0","38"
"2016年11月14日14時15分","0","102","0","0","0","0","0","0","0","0","196"
"2016年11月14日14時20分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月14日14時25分","0","15","0","0","0","0","0","0","0","0","143"
"2016年11月14日14時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日14時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日14時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時10分","0","201","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時15分","0","298","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時20分","0","106","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時30分","0","221","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時35分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時40分","0","77","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日15時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時20分","0","214","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時25分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時30分","0","142","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時35分","0","293","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時40分","0","239","0","0","0","0","0","0","0","0","48"
"2016年11月14日16時45分","0","299","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時50分","0","285","0","0","0","0","0","0","0","0","0"
"2016年11月14日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月14日17時50分","0","0","0","0","0","0","0","0","0","0","0"
